"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年5月19日","0.41539","0.37191","0.42478","0.37080","2.58B","11.68%"
"2019年5月18日","0.37194","0.38806","0.39294","0.36566","1.81B","-4.15%"
"2019年5月17日","0.38805","0.41806","0.42271","0.36140","3.56B","-7.15%"
"2019年5月16日","0.41795","0.45696","0.47805","0.39616","4.58B","-8.55%"
"2019年5月15日","0.45701","0.40916","0.46522","0.40908","3.84B","11.69%"
"2019年5月14日","0.40919","0.32406","0.42191","0.32271","5.34B","26.29%"
"2019年5月13日","0.32400","0.31069","0.32816","0.30893","1.78B","4.28%"
"2019年5月12日","0.31069","0.32184","0.32937","0.30579","2.12B","-3.48%"
"2019年5月11日","0.32189","0.29949","0.33765","0.29929","2.26B","7.48%"
"2019年5月10日","0.29950","0.29606","0.30100","0.29304","999.25M","1.16%"
"2019年5月9日","0.29605","0.30052","0.30188","0.29381","890.64M","-1.49%"
"2019年5月8日","0.30053","0.29890","0.30263","0.29688","873.58M","0.55%"
"2019年5月7日","0.29889","0.30295","0.30733","0.29862","1.07B","-1.34%"
"2019年5月6日","0.30296","0.30167","0.30601","0.29657","1.10B","0.43%"
"2019年5月5日","0.30165","0.30368","0.30549","0.30011","876.98M","-0.67%"
"2019年5月4日","0.30368","0.30764","0.31715","0.29999","1.18B","-1.28%"
"2019年5月3日","0.30763","0.30343","0.31002","0.30181","1.13B","1.38%"
"2019年5月2日","0.30343","0.30391","0.30510","0.30159","735.81M","-0.15%"
"2019年5月1日","0.30389","0.30884","0.30994","0.30097","807.98M","-1.61%"
"2019年4月30日","0.30886","0.29442","0.31179","0.29326","1.19B","4.92%"
"2019年4月29日","0.29437","0.29939","0.30151","0.29187","816.53M","-1.68%"
"2019年4月28日","0.29940","0.29896","0.30226","0.29662","728.25M","0.15%"
"2019年4月27日","0.29895","0.30293","0.30442","0.29744","720.19M","-1.31%"
"2019年4月26日","0.30293","0.29234","0.30409","0.28947","1.32B","3.62%"
"2019年4月25日","0.29234","0.30015","0.30552","0.28687","1.38B","-2.60%"
"2019年4月24日","0.30013","0.31888","0.32424","0.29229","1.69B","-5.88%"
"2019年4月23日","0.31888","0.32266","0.33144","0.31875","1.23B","-1.17%"
"2019年4月22日","0.32266","0.32078","0.32989","0.31820","1.05B","0.59%"
"2019年4月21日","0.32078","0.32726","0.32861","0.31596","988.53M","-2.01%"
"2019年4月20日","0.32735","0.33030","0.33221","0.32266","827.62M","-0.89%"
"2019年4月19日","0.33028","0.33523","0.33537","0.32693","977.04M","-1.47%"
"2019年4月18日","0.33522","0.33369","0.34470","0.33265","1.23B","0.46%"
"2019年4月17日","0.33369","0.32390","0.33938","0.31909","1.29B","3.02%"
"2019年4月16日","0.32390","0.31904","0.32477","0.31662","847.47M","1.52%"
"2019年4月15日","0.31904","0.32630","0.32970","0.31427","1.13B","-2.23%"
"2019年4月14日","0.32632","0.32479","0.32996","0.32139","858.51M","0.46%"
"2019年4月13日","0.32482","0.32356","0.33539","0.32017","534.41M","0.36%"
"2019年4月12日","0.32364","0.32729","0.32812","0.31457","581.55M","-1.11%"
"2019年4月11日","0.32729","0.35317","0.35354","0.31992","1.04B","-7.33%"
"2019年4月10日","0.35315","0.34744","0.35765","0.34640","608.54M","1.65%"
"2019年4月9日","0.34742","0.35597","0.35597","0.34445","628.97M","-2.41%"
"2019年4月8日","0.35599","0.36155","0.37025","0.34519","997.38M","-1.55%"
"2019年4月7日","0.36157","0.35256","0.36668","0.35081","902.79M","2.56%"
"2019年4月6日","0.35256","0.36163","0.36208","0.34672","1.01B","-2.48%"
"2019年4月5日","0.36152","0.33013","0.37939","0.33010","1.67B","9.52%"
"2019年4月4日","0.33010","0.34055","0.34661","0.32519","1.11B","-3.08%"
"2019年4月3日","0.34058","0.35114","0.37043","0.32773","1.86B","-3.00%"
"2019年4月2日","0.35112","0.31244","0.35618","0.31158","1.66B","12.38%"
"2019年4月1日","0.31243","0.30891","0.31426","0.30780","498.48M","1.15%"
"2019年3月31日","0.30890","0.31104","0.31158","0.30744","355.84M","-0.69%"
"2019年3月30日","0.31104","0.30786","0.31813","0.30731","587.27M","1.04%"
"2019年3月29日","0.30784","0.30616","0.31012","0.30529","484.34M","0.55%"
"2019年3月28日","0.30616","0.31037","0.31037","0.30452","287.91M","-1.36%"
"2019年3月27日","0.31038","0.30280","0.31101","0.30063","467.14M","2.50%"
